Id,CompanyId,ShuttleLocation,ShuttleType,EngineType,EngineVendor,Engines,PassengerCapacity,Crew,CancellationPolicy,Price,DCheckComplete,MoonClearanceComplete
45163,32413,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,4,2,moderate,1715,False,False
49438,14122,Wallis and Futuna,Type V2,Plasma,ThetaBase Services,3,5,3,moderate,3405,False,False
10750,47761,Niue,Type F5,Quantum,ThetaBase Services,1,2,1,strict,1806,True,False
4146,26648,Malta,Type V2,Quantum,ThetaBase Services,1,2,1,moderate,1676,False,False
5067,26648,Malta,Type V2,Plasma,ThetaBase Services,5,10,5,strict,4718,False,False
14891,24304,Faroe Islands,Type V5,Plasma,ThetaBase Services,2,4,3,strict,2950,False,False
5689,42867,Malta,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1975,False,False
75321,47761,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,1,strict,1455,True,False
27341,5252,Malta,Type V5,Quantum,ThetaBase Services,1,1,1,moderate,2495,False,False
25733,11275,Malta,Type V2,Quantum,ThetaBase Services,1,2,1,strict,1338,False,False
38733,21747,Bouvet Island (Bouvetoya),Type V5,Quantum,Warwick Technology Multinational,1,2,1,strict,1455,False,False
61198,40644,Barbados,Type V5,Plasma,ThetaBase Services,1,4,1,flexible,2430,False,False
9858,2817,United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,1,moderate,1715,False,False
18221,42114,Barbados,Type V5,Quantum,ThetaBase Services,0,1,1,moderate,1845,False,False
18590,29416,Anguilla,Type O3,Quantum,ThetaBase Services,1,2,1,flexible,1169,False,False
19813,37646,Rwanda,Type G0,Plasma,ThetaBase Services,1,3,1,strict,2625,True,False
74856,21836,Malta,Type V5,Plasma,ThetaBase Services,1,2,1,strict,1975,True,False
76722,15268,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,1,strict,1858,False,False
29755,28884,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,1,1,strict,1169,False,False
12358,42114,Barbados,Type V5,Plasma,ThetaBase Services,2,3,2,strict,3470,True,False
16167,15306,Barbados,Type V5,Plasma,ThetaBase Services,2,6,3,moderate,5550,False,False
259,31859,Rwanda,Type V5,Plasma,ThetaBase Services,1,3,1,moderate,2495,True,False
71339,4795,Marshall Islands,Type F5,Quantum,ThetaBase Services,1,2,1,moderate,1390,False,False
48376,46456,United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1520,False,False
25335,26562,Kiribati,Type V5,Plasma,ThetaBase Services,1,2,1,flexible,1585,True,False
56080,5570,Russian Federation,Type V5,Plasma,ThetaBase Services,1,4,2,moderate,2040,False,False
66614,33906,Malta,Type V5,Plasma,ThetaBase Services,2,5,3,strict,3210,False,False
51751,464,United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1572,True,False
16137,11781,Niue,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1455,False,False
54844,32063,Niue,Type F5,Quantum,ThetaBase Services,1,1,1,moderate,1377,False,False
58486,14240,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2,4,2,strict,2625,False,False
14259,14191,Nicaragua,Type V5,Quantum,ThetaBase Services,1,3,2,strict,1650,False,False
41603,14369,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,5,5,strict,1468,False,False
258,28781,Anguilla,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1195,True,False
5637,37646,United Kingdom,Type G0,Plasma,ThetaBase Services,2,5,2,strict,3028,True,False
23951,15391,Micronesia,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1429,False,False
2990,14240,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,1,strict,2235,False,False
7653,37392,Costa Rica,Type V5,Plasma,ThetaBase Services,1,4,2,strict,2300,True,False
74286,30065,Russian Federation,Type V5,Plasma,ThetaBase Services,2,6,2,strict,2040,False,False
40515,9011,Russian Federation,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1416,False,False
45692,26524,Niue,Type V5,Plasma,ThetaBase Services,2,6,3,strict,1845,False,False
15000,35807,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1,2,0,moderate,1611,True,False
48747,13525,Malta,Type V5,Plasma,ThetaBase Services,2,4,2,strict,2170,False,False
43966,29563,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1,2,1,flexible,1715,False,False
18155,794,Malta,Type V5,Quantum,ThetaBase Services,1,1,1,moderate,1767,False,False
58876,283,Kiribati,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1845,False,False
24706,20847,Barbados,Type V5,Plasma,ThetaBase Services,1,2,1,moderate,2157,False,False
70604,14602,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2,4,3,strict,1650,False,False
26471,27556,Marshall Islands,Type O3,Quantum,ThetaBase Services,1,4,1,flexible,2040,False,False
49800,13585,Micronesia,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1325,False,False
22234,37646,United Kingdom,Type G0,Plasma,ThetaBase Services,1,3,1,strict,2872,True,False
16340,45546,Nicaragua,Type V5,Plasma,ThetaBase Services,1,4,3,strict,2105,False,False
41203,37646,Rwanda,Type G0,Plasma,ThetaBase Services,2,5,2,strict,3015,True,False
17610,39713,United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,1,strict,1325,True,False
6684,6518,Rwanda,Type V5,Plasma,ThetaBase Services,2,5,2,strict,2560,False,False
31569,32603,United Kingdom,Type V5,Plasma,ThetaBase Services,2,6,3,strict,3990,False,False
76975,13585,Micronesia,Type V5,Plasma,ThetaBase Services,2,3,2,strict,2105,False,False
17713,40954,Costa Rica,Type F5,Quantum,ThetaBase Services,1,2,1,flexible,1481,False,False
61591,30509,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,1,strict,2040,False,False
13839,9829,Malta,Type V5,Quantum,ThetaBase Services,2,2,2,strict,1585,False,False
32376,10204,United Kingdom,Type V5,Quantum,ThetaBase Services,1,3,2,strict,1585,False,False
35048,45546,Russian Federation,Type V5,Plasma,ThetaBase Services,2,4,3,strict,3405,False,False
77029,17703,Malta,Type V5,Plasma,ThetaBase Services,1,3,1,moderate,2430,False,False
6062,42686,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,1,moderate,1455,False,False
9155,8930,Sao Tome and Principe,Type V2,Quantum,ThetaBase Services,1,2,0,moderate,1247,False,False
57334,293,Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1,1,1,moderate,1390,False,False
2266,44853,Bouvet Island (Bouvetoya),Type V2,Plasma,ThetaBase Services,3,8,4,strict,2469,False,False
62819,4038,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,3,1,flexible,1598,False,False
24650,28458,Rwanda,Type F5,Plasma,ThetaBase Services,1,2,2,strict,2300,False,False
40761,24133,Nicaragua,Type V5,Plasma,ThetaBase Services,1,4,3,strict,2040,False,False
8691,4237,United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,1,strict,1325,False,False
53116,10392,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,1,1,flexible,1390,False,False
50190,28911,Uzbekistan,Type F5,Quantum,ThetaBase Services,1,1,1,moderate,1520,False,False
48391,39724,Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1,1,1,strict,1325,True,False
56396,32659,Nicaragua,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1585,False,False
30465,11428,Micronesia,Type V5,Plasma,ThetaBase Services,1,2,1,strict,1910,False,False
55579,10204,United Kingdom,Type V5,Quantum,ThetaBase Services,1,3,2,strict,1481,False,False
28853,36659,Anguilla,Type F5,Quantum,ThetaBase Services,1,1,1,moderate,1247,False,False
68424,31686,Russian Federation,Type V5,Quantum,ThetaBase Services,2,3,2,moderate,1910,False,False
14058,8654,Malta,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1312,False,False
42319,38347,Malta,Type V5,Quantum,ThetaBase Services,1,1,1,moderate,1429,True,False
44970,46667,Anguilla,Type F5,Quantum,ThetaBase Services,1,2,1,flexible,1520,False,False
38755,37392,Costa Rica,Type O3,Quantum,ThetaBase Services,1,2,1,strict,1845,False,False
62135,1499,Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,1,strict,2105,False,False
65948,6896,Nicaragua,Type V5,Plasma,ThetaBase Services,1,2,1,strict,2196,False,False
53347,10818,Nicaragua,Type V2,Plasma,ThetaBase Services,3,6,3,strict,4445,True,False
65506,15164,United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1247,False,False
49181,263,Anguilla,Type F5,Quantum,ThetaBase Services,1,2,1,flexible,1988,False,False
9219,15164,United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,2,strict,2625,False,False
53927,21341,Barbados,Type V5,Plasma,ThetaBase Services,1,2,1,strict,1780,True,False
31148,34203,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,1,moderate,2820,False,False
64665,14369,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,5,3,strict,1390,False,False
62620,34259,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,4,2,strict,2950,True,False
57908,8442,United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,1,strict,1559,True,False
22623,425,Brazil,Type X3,Plasma,ThetaBase Services,1,4,1,strict,1910,False,False
24279,41880,Micronesia,Type V5,Quantum,ThetaBase Services,1,1,1,strict,1624,False,False
61273,39724,Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1,2,1,strict,1494,True,False
69882,34126,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,1,strict,1845,False,False
46698,3777,Uzbekistan,Type F5,Quantum,ThetaBase Services,1,2,1,strict,1325,False,False
38657,47152,Nicaragua,Type F5,Plasma,ThetaBase Services,3,8,4,strict,11062,False,False
62223,40390,Malta,Type V5,Plasma,ThetaBase Services,2,5,2,strict,2001,True,False
62211,20417,Estonia,Type V5,Quantum,ThetaBase Services,1,2,1,strict,2430,False,False
69763,34259,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1,2,1,moderate,1650,True,False
57220,6053,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1,2,1,flexible,2820,False,False
70959,17725,Chad,Type V5,Plasma,ThetaBase Services,2,4,1,flexible,2755,False,False
24928,34107,Uzbekistan,Type V5,Plasma,ThetaBase Services,2,2,1,flexible,3470,False,False
14185,10950,Mexico,Type V2,Quantum,ThetaBase Services,1,2,1,flexible,1130,True,False
29920,27316,Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1,1,1,strict,1130,False,False
11888,27316,Bosnia and Herzegovina,Type O3,Quantum,ThetaBase Services,1,1,1,flexible,1390,False,False
66198,20272,Costa Rica,Type F5,Quantum,ThetaBase Services,1,2,1,flexible,1650,False,False
55265,34753,Malta,Type V5,Plasma,ThetaBase Services,2,5,2,strict,2105,False,False
25548,47152,Nicaragua,Type F5,Quantum,ThetaBase Services,1,4,1,strict,5966,False,False
48917,1539,Faroe Islands,Type O3,Quantum,ThetaBase Services,1,2,1,strict,1520,False,False
20524,13458,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,1,1,flexible,1390,False,False
25889,36524,Russian Federation,Type V2,Quantum,ThetaBase Services,1,2,1,strict,2144,True,False
71387,4306,Micronesia,Type V5,Plasma,ThetaBase Services,1,4,1,moderate,3145,True,False
50007,10079,Micronesia,Type V5,Plasma,ThetaBase Services,2,4,2,strict,2820,False,False
