ShuttleLocation,ShuttleType,EngineType,EngineVendor,Engines,PassengerCapacity,CancellationPolicy,Crew,DCheckComplete,MoonClearanceComplete,Price,CompanyId,ShuttleId,ReviewScoresRating,ReviewScoresComfort,ReviewScoresAmenities,ReviewScoresTrip,ReviewScoresCrew,ReviewScoresLocation,ReviewScoresPrice,NumberOfReviews,ReviewsPerMonth,Id,CompanyRating,CompanyLocation,TotalFleetCount,IataApproved
Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,4,moderate,2,False,False,1715,32413,45163,91,10,9,9,9,9,9,26,0.77,32413,1,Faroe Islands,1,False
Wallis and Futuna,Type V2,Plasma,ThetaBase Services,3,5,moderate,3,False,False,3405,14122,49438,96,10,10,10,10,10,9,61,0.62,14122,1,Malta,1,True
Niue,Type F5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1806,47761,10750,97,10,10,10,10,10,10,467,4.66,47761,1,Niue,2,False
Malta,Type V2,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1676,26648,4146,95,10,10,10,10,9,9,318,3.22,26648,1,Niue,2,True
Malta,Type V2,Plasma,ThetaBase Services,5,10,strict,5,False,False,4718,26648,5067,97,10,9,10,10,9,10,22,0.29,26648,1,Niue,2,True
Faroe Islands,Type V5,Plasma,ThetaBase Services,2,4,strict,3,False,False,2950,24304,14891,93,9,8,10,9,9,9,15,0.19,24304,1,Micronesia,1,True
Malta,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1975,42867,5689,92,9,10,9,10,10,9,75,0.79,42867,1,Indonesia,2,True
Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1455,47761,75321,97,10,10,10,10,9,10,450,4.5,47761,1,Niue,2,False
Malta,Type V2,Quantum,ThetaBase Services,1,2,strict,1,False,False,1338,11275,25733,94,10,9,10,10,9,9,168,2.55,11275,1,Brazil,3,True
Bouvet Island (Bouvetoya),Type V5,Quantum,Warwick Technology Multinational,1,2,strict,1,False,False,1455,21747,38733,88,10,8,9,9,9,9,38,0.41,21747,0.67,Gambia,1,True
Barbados,Type V5,Quantum,ThetaBase Services,0,1,moderate,1,False,False,1845,42114,18221,95,9,10,10,10,10,9,184,1.9,42114,1,Sao Tome and Principe,3,True
Anguilla,Type O3,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1169,29416,18590,95,10,9,10,10,9,10,172,1.91,29416,1,Anguilla,1,False
Rwanda,Type G0,Plasma,ThetaBase Services,1,3,strict,1,True,False,2625,37646,19813,72,7,8,8,8,9,8,10,0.15,37646,1,Estonia,60,False
Malta,Type V5,Plasma,ThetaBase Services,1,2,strict,1,True,False,1975,21836,74856,95,9,10,10,10,9,9,176,1.95,21836,1,Mauritania,3,False
Faroe Islands,Type F5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1169,28884,29755,93,9,10,10,10,9,9,23,0.27,28884,1,Micronesia,2,True
