AssemblyName,ProjectType,Subgroup
Flowthru,Library,Core
Flowthru.Cli,Library,Core
Flowthru.Core,Library,Core
Flowthru.Core.CodeFixes,Library,Core
Flowthru.Core.SourceGenerators,Library,Core
Flowthru.FUnit,Library,Core
Flowthru.FUnit.CodeFixes,Library,Core
Flowthru.FUnit.SourceGenerators,Library,Core
Flowthru.Extensions.Csv,Library,Extensions
Flowthru.Extensions.EFCore,Library,Extensions
Flowthru.Extensions.EFCore.Bulk,Library,Extensions
Flowthru.Extensions.Excel,Library,Extensions
Flowthru.Extensions.GQL,Library,Extensions
Flowthru.Extensions.Http,Library,Extensions
Flowthru.Extensions.Metadata.Diagnostics,Library,Extensions
Flowthru.Extensions.Metadata.Json,Library,Extensions
Flowthru.Extensions.Metadata.Mermaid,Library,Extensions
Flowthru.Extensions.Parquet,Library,Extensions
Flowthru.Extensions.Python,Library,Extensions
Flowthru.Extensions.Python.SourceGenerators,Library,Extensions
Flowthru.Extensions.Xml,Library,Extensions
Flowthru.Misc.DataFrames,Library,Misc
Flowthru.Misc.DataFrames.SourceGenerators,Library,Misc
Flowthru.Cli.Tests,LibraryTest,Core
Flowthru.Core.Architecture.Tests,LibraryTest,Core
Flowthru.Core.CodeFixes.Tests,LibraryTest,Core
Flowthru.Core.SourceGenerators.Tests,LibraryTest,Core
Flowthru.Core.Tests,LibraryTest,Core
Flowthru.FUnit.CodeFixes.Tests,LibraryTest,Core
Flowthru.FUnit.SourceGenerators.Tests,LibraryTest,Core
Flowthru.FUnit.Tests,LibraryTest,Core
Flowthru.Tests,LibraryTest,Core
Flowthru.Extensions.Csv.Tests,LibraryTest,Extensions
Flowthru.Extensions.EFCore.Bulk.Tests,LibraryTest,Extensions
Flowthru.Extensions.EFCore.Tests,LibraryTest,Extensions
Flowthru.Extensions.Excel.Tests,LibraryTest,Extensions
Flowthru.Extensions.GQL.Tests,LibraryTest,Extensions
Flowthru.Extensions.Http.Tests,LibraryTest,Extensions
Flowthru.Extensions.Metadata.Diagnostics.Tests,LibraryTest,Extensions
Flowthru.Extensions.Metadata.Json.Tests,LibraryTest,Extensions
Flowthru.Extensions.Metadata.Mermaid.Tests,LibraryTest,Extensions
Flowthru.Extensions.Parquet.Tests,LibraryTest,Extensions
Flowthru.Extensions.Python.SourceGenerators.Tests,LibraryTest,Extensions
Flowthru.Extensions.Python.Tests,LibraryTest,Extensions
Flowthru.Extensions.Xml.Tests,LibraryTest,Extensions
Flowthru.Misc.DataFrames.SourceGenerators.Tests,LibraryTest,Misc
Flowthru.Misc.DataFrames.Tests,LibraryTest,Misc
Flowthru.Tests.Helpers,IntegrationTest,
Flowthru.Tests.Kits,IntegrationTest,
Flowthru.Tests.Examples,IntegrationTest,
KedroIris,Example,
KedroIrisFUnit,Example,
KedroIrisPython,Example,
KedroSpaceflights,Example,
KedroSpaceflightsFUnit,Example,
KedroSpaceflightsPython,Example,
Minimal,Example,
SpaceflightsEFCore,Example,
SimpleEffectsExample,Example,
FlowthruCoverage,Example,
KedroSpaceflightsCustom,Example,
KedroSpaceflightsGQL,Example,
RetailDataSplitFlow,Example,
SpaceflightsDistributed.DataProcessing,Example,
SpaceflightsDistributed.DataScience,Example,
SpaceflightsDistributed.Reporting,Example,
SpaceflightsDistributed,Example,
SpaceflightsPythonEFCore,Example,
SpaceflightsNewTypes,Example,
SpaceflightsStagingSchema,Example,
