AssemblyName,RelativePath,TotalLines
Flowthru.Cli,ArgumentParser.cs,309
Flowthru.Cli,FlowthruCli.cs,138
Flowthru.Core.CodeFixes,Ft1001AddPartialKeywordFix.cs,84
Flowthru.Core.CodeFixes,Ft1002RemoveConflictingInterfaceFix.cs,127
Flowthru.Core.CodeFixes,Ft1101AddFlowthruStepAttributeFix.cs,189
Flowthru.Core.SourceGenerators,Algebra/ClosedSumExhaustivenessAnalyzer.cs,203
Flowthru.Core.SourceGenerators,Catalog/CatalogPropertyGenerator.cs,217
Flowthru.Core.SourceGenerators,Flow/FlowBuilderGenerator.cs,698
Flowthru.Core.SourceGenerators,IsExternalInit.cs,7
Flowthru.Core.SourceGenerators,Schema/Column/ColumnGeneratorDiagnostics.cs,38
Flowthru.Core.SourceGenerators,Schema/Column/ColumnNewTypeGenerator.cs,211
Flowthru.Core.SourceGenerators,Schema/FlowthruSchemaAnalyzer.cs,159
Flowthru.Core.SourceGenerators,Schema/SchemaCollectionShapeAnalyzer.cs,157
Flowthru.Core.SourceGenerators,Schema/SchemaGeneratorDiagnostics.cs,100
Flowthru.Core.SourceGenerators,Schema/SchemaInterfaceGenerator.cs,299
Flowthru.Core.SourceGenerators,Schema/SchemaPropertyClassifier.cs,188
Flowthru.Core.SourceGenerators,Step/FlowthruStepAttributeAnalyzer.cs,187
Flowthru.Core.SourceGenerators,Step/ReadOnlyItemOutputAnalyzer.cs,218
Flowthru.Core.SourceGenerators,Step/StepMetadataGenerator.cs,320
Flowthru.Core.SourceGenerators,Step/ExtensionCapabilityMarshallerAlignmentAnalyzer.cs,142
Flowthru.Core.SourceGenerators,Step/ExtensionMinimumContainerSupportAnalyzer.cs,150
Flowthru.Core.SourceGenerators,Step/StepDiagnostics.cs,111
Flowthru.Core.SourceGenerators,Validation/FailAsValueThrowAnalyzer.cs,243
Flowthru.Core.SourceGenerators,Storage/StorageDiagnostics.cs,42
Flowthru.Core.SourceGenerators,Storage/StreamingTraitHonestyAnalyzer.cs,202
Flowthru.Core,Caching/CacheManifest.cs,84
Flowthru.Core,Caching/CachePlan.cs,73
Flowthru.Core,Caching/NodeFingerprint.cs,20
Flowthru.Core,Caching/CacheManifestStore.cs,277
Flowthru.Core,Caching/CachePlanBuilder.cs,307
Flowthru.Core,Caching/StepUncacheableReason.cs,100
Flowthru.Core,Data/Catalog/BinaryExtensions.cs,60
Flowthru.Core,Data/Catalog/CatalogAbstract.cs,150
Flowthru.Core,Data/Catalog/DirectoryOfBuilder.cs,104
Flowthru.Core,Data/Catalog/IFileItemBuilder.cs,54
Flowthru.Core,Data/Catalog/ItemAnchor.cs,63
Flowthru.Core,Data/Catalog/ItemFactory.cs,185
Flowthru.Core,Data/Catalog/JsonExtensions.cs,183
Flowthru.Core,Data/Catalog/JsonItemAttribute.cs,47
Flowthru.Core,Data/Catalog/MemoryExtensions.cs,34
Flowthru.Core,Data/Catalog/NodeTraits.cs,17
Flowthru.Core,Data/Catalog/TextExtensions.cs,62
Flowthru.Core,Data/Catalog/INode.cs,51
Flowthru.Core,Data/Catalog/FlowSinkItem.cs,47
Flowthru.Core,Data/Catalog/Item.Introspection.cs,152
Flowthru.Core,Data/Catalog/BulkTransferSourceItem.cs,93
