Id,company_rating,company_location,total_fleet_count,iata_approved
3888,1,Isle of Man,1,False
34618,0.38,Isle of Man,1,False
16813,1,Kiribati,2,False
2859,0.9,Bahrain,1,False
30052,1,Turkmenistan,1,False
43711,1,Rwanda,1,False
28484,0.33,Sao Tome and Principe,1,True
40075,0.93,Denmark,2,True
19811,0.9,Nicaragua,21,True
1337,0,Micronesia,1,False
33906,0.8,Marshall Islands,1,False
14122,1,Malta,1,True
42226,1,Rwanda,2,True
9830,1,Barbados,3,True
23356,1,Netherlands,1,False
16042,0,Rwanda,2,False
37247,1,Tanzania,3,False
37293,0.92,Russian Federation,15,False
14918,1,Jersey,1,False
38552,1,Montserrat,1,False
41510,1,Gambia,1,False
26524,1,Guinea,2,True
16370,0.5,Isle of Man,1,True
7588,1,Philippines,2,False
18953,1,Chile,1,False
7891,1,Barbados,1,False
22175,0.5,Lebanon,1,True
37686,0.9,Monaco,1,True
40770,1,Tonga,2,False
22090,1,Marshall Islands,1,True
1241,1,Chile,1,False
34678,0.89,Croatia,4,True
32063,1,Niue,2,True
19581,1,Russian Federation,1,False
28985,1,Monaco,1,True
17908,1,Mexico,2,False
2732,1,Turkmenistan,4,False
19139,1,Mauritania,1,False
17652,0.5,Isle of Man,1,False
31213,1,Denmark,1,True
1577,1,Peru,8,True
24954,0.6,Christmas Island,2,False
24736,1,Isle of Man,1,True
44885,1,Philippines,1,True
31040,1,El Salvador,2,True
19540,1,Guinea,1,True
78,1,Gambia,1,True
39998,1,Micronesia,4,True
47617,1,Philippines,2,False
7309,1,Togo,4,False
33683,0.33,Somalia,2,False
12799,0.8,Faroe Islands,2,False
5729,1,Russian Federation,1,False
21239,1,Denmark,1,False
49953,1,Niger,1,False
35774,0.9,Brazil,1,True
48162,1,Marshall Islands,1,False
29745,0.9,Andorra,1,False
34381,0.83,Sao Tome and Principe,1,False
38299,1,Gambia,1,False
8551,1,Lebanon,1,False
42646,0.33,Rwanda,4,False
17669,1,Russian Federation,3,False
10364,1,Slovakia (Slovak Republic),14,False
27226,1,Congo,10,False
55,1,Kiribati,2,False
44796,1,Maldives,2,True
7025,1,Jersey,1,False
30130,1,Togo,1,False
26794,1,Lithuania,1,False
17051,1,Micronesia,1,False
8012,1,Sao Tome and Principe,2,True
15991,1,Congo,1,True
42600,1,Malawi,1,True
46787,1,Niue,1,True
22806,1,Faroe Islands,1,False
33223,1,Nauru,1,True
20463,1,Lithuania,2,False
28276,0.83,Papua New Guinea,2,False
26519,1,Turks and Caicos Islands,2,True
31598,0.67,Ukraine,1,False
47159,0.88,Denmark,1,True
33222,0.67,Croatia,1,False
6984,1,Suriname,9,False
8362,1,Malawi,2,True
28030,0.9,Anguilla,1,False
11904,1,Nauru,1,False
30684,1,Niue,2,True
44736,1,Guernsey,1,True
21217,0.75,Nauru,1,False
14136,1,Guinea,1,False
44127,1,Rwanda,1,True
30462,0,Lithuania,1,True
35077,1,Cocos (Keeling) Islands,4,False
28404,1,Croatia,1,True
35386,1,Venezuela,1,False
31437,0.9,Denmark,1,False
49510,1,Croatia,1,True
39923,1,Russian Federation,2,False
41024,0.95,Uzbekistan,2,False
18557,0.67,Monaco,2,False
45171,1,Kiribati,1,True
24060,1,Malta,1,True
40276,1,Anguilla,1,True
16649,1,Gibraltar,8,False
8956,1,Kiribati,1,False
7656,1,Russian Federation,1,False
4486,1,Russian Federation,1,True
10887,0.67,Russian Federation,1,False
29614,1,San Marino,1,False
38257,1,Svalbard & Jan Mayen Islands,1,False
26957,1,Uzbekistan,1,False
21860,1,France,2,True
16292,0.83,Reunion,1,False
39857,1,Cocos (Keeling) Islands,1,True
33743,1,Denmark,2,False
4957,1,Puerto Rico,1,False
34238,1,Saint Barthelemy,5,True
45429,1,Niue,1,False
37243,1,Tunisia,1,False
18338,0.88,Ecuador,1,True
21186,1,Rwanda,2,True
13427,1,Ecuador,1,False
42080,1,France,1,False
40805,0.9,Uzbekistan,2,False
28255,0.75,Somalia,1,False
27948,1,Niue,4,False
32413,1,Faroe Islands,1,False
5848,0.8,Canada,2,False
44666,1,Uzbekistan,1,True
43992,1,Uzbekistan,3,True
31667,1,Croatia,1,False
15866,1,Papua New Guinea,2,False
28172,1,Isle of Man,1,False
14050,1,Lithuania,1,True
33950,1,Gambia,1,True
38508,1,Rwanda,1,True
13074,1,Turks and Caicos Islands,1,True
1616,1,Zimbabwe,1,True
42104,0.5,Djibouti,2,False
19241,1,Afghanistan,1,True
15985,0.67,Somalia,1,False
39919,0.9,Guinea,3,True
29070,1,Micronesia,1,False
38004,0,Palestinian Territory,2,False
29866,1,Isle of Man,2,False
36766,1,Malta,1,False
48698,0.9,Vietnam,3,False
21008,1,Bouvet Island (Bouvetoya),1,False
517,1,United Kingdom,1,False
25431,1,Sao Tome and Principe,1,True
20314,1,El Salvador,1,False
47479,1,Russian Federation,1,True
29382,1,Ghana,4,False
4964,1,Malawi,1,True
25308,1,Guinea,1,True
15475,1,Chad,1,False
15068,1,Sao Tome and Principe,1,False
42762,1,United Kingdom,1,False
14921,1,Micronesia,2,False
11781,1,Guinea,2,True
38634,1,Malta,1,True
10079,1,Rwanda,1,False
28224,1,Rwanda,1,False
36681,1,Tunisia,1,True
46996,1,Tonga,1,False
41022,1,Cape Verde,3,True
17447,1,El Salvador,4,True
27442,0.9,Solomon Islands,1,False
12701,1,Monaco,1,False
16550,1,Isle of Man,1,False
43252,1,Uzbekistan,1,True
19861,0.67,Togo,1,False
7058,1,Isle of Man,2,False
36288,1,Marshall Islands,1,False
36914,1,Nauru,1,True
23857,1,Isle of Man,1,False
16573,1,Cuba,2,False
32801,0.63,Somalia,1,False
47812,1,Maldives,1,False
17138,1,Isle of Man,1,True
11110,0.88,Kiribati,3,True
3314,1,Slovakia (Slovak Republic),10,False
17061,1,Niue,2,False
21275,1,Marshall Islands,1,False
4898,1,Kiribati,1,False
18326,1,Monaco,1,False
26159,1,Turkmenistan,1,True
7620,1,Togo,4,False
44146,0.36,Malawi,2,True
45842,1,Maldives,1,True
26079,1,Zimbabwe,1,False
9570,1,Micronesia,1,False
26292,1,Jersey,2,True
27090,1,Tonga,2,True
1200,1,Russian Federation,2,True
42454,1,Finland,1,False
32276,1,Kiribati,1,False
27227,1,Isle of Man,2,True
7237,1,Guinea,1,True
13082,1,Kiribati,3,True
9586,1,Guinea,2,True
3490,1,Papua New Guinea,1,False
29480,1,French Polynesia,6,False
32658,0.85,Saint Helena,1,False
38160,0.25,Nicaragua,1,False
1327,1,Brazil,1,False
27289,0.99,Reunion,12,True
33783,0,Lebanon,1,False
37283,1,Brazil,1,True
38193,1,French Guiana,1,True
21331,1,Holy See (Vatican City State),1,False
40192,1,Croatia,2,True
32691,1,Nicaragua,1,False
10697,1,Uzbekistan,3,True
35364,1,Sao Tome and Principe,1,False
44354,1,Russian Federation,1,True
1126,1,Estonia,1,True
27811,1,Ukraine,4,True
24646,1,Barbados,1,False
45208,1,Svalbard & Jan Mayen Islands,1,False
7246,1,Niue,6,False
41675,1,Zimbabwe,1,False
36832,0.83,Micronesia,1,False
13474,0.8,Zimbabwe,7,True
21341,0.8,Tonga,1,False
4308,1,Togo,1,False
18024,1,Monaco,1,False
46453,1,Russian Federation,1,True
41036,1,French Polynesia,2,False
15803,1,Tonga,1,True
3189,1,Marshall Islands,2,True
47361,1,Barbados,10,False
18791,1,Zimbabwe,8,True
17427,1,Mexico,2,False
16173,1,Rwanda,1,False
37595,0.9,Lithuania,4,False
2180,0,Australia,1,False
41507,1,Sao Tome and Principe,1,True
4854,1,Monaco,1,False
21736,1,Vanuatu,4,False
33190,0,Anguilla,1,True
41873,1,Zimbabwe,2,False
7500,1,Paraguay,8,True
515,1,Mauritania,1,False
16507,1,Nauru,1,False
25415,1,Ghana,1,False
5941,1,Gambia,2,False
23344,1,Grenada,1,False
19806,0.6,Papua New Guinea,1,False
41296,1,Svalbard & Jan Mayen Islands,1,False
40264,1,Russian Federation,1,False
7244,1,Guatemala,2,True
44834,0.97,Guernsey,4,False
17086,1,Saint Pierre and Miquelon,2,True
37066,1,Micronesia,1,True
37117,1,Slovakia (Slovak Republic),2,True
17819,1,Guinea,2,False
23170,1,Sao Tome and Principe,2,True
11126,1,Anguilla,3,True
20283,1,Denmark,1,False
38524,1,Libyan Arab Jamahiriya,1,True
49825,1,Pakistan,7,True
39637,1,Niue,1,False
6993,1,Costa Rica,1,True
29323,1,Guinea,3,False
10636,1,Jersey,1,False
12911,1,Maldives,1,False
22231,1,Guinea,2,False
33669,1,Malta,2,True
19309,1,Maldives,3,True
4868,1,Jersey,2,True
44440,0.88,Somalia,2,False
4780,1,Svalbard & Jan Mayen Islands,1,False
22364,1,Denmark,2,False
24546,0.5,Zimbabwe,2,False
45111,1,Sao Tome and Principe,420,False
38122,1,Tonga,1,False
28667,1,Barbados,1,False
34467,1,Indonesia,1,False
17499,0.33,Somalia,1,True
31352,1,Pakistan,1,False
390,1,Niue,1,True
39441,0.96,Cuba,4,False
10149,1,Isle of Man,1,False
8355,0.87,Togo,16,False
20114,1,Croatia,1,True
40479,1,France,1,False
28743,1,Somalia,1,True
31554,1,Marshall Islands,1,True
31839,1,Mauritania,1,False
4828,1,Philippines,1,True
32524,1,Nicaragua,1,True
28803,1,Cocos (Keeling) Islands,1,False
27822,1,Russian Federation,2,False
29454,1,Guinea,1,False
27460,0.5,Denmark,2,False
15200,1,Gibraltar,1,True
15452,0.9,Niue,2,False
29244,0.67,Micronesia,1,False
21752,0.9,Turks and Caicos Islands,1,False
5970,1,El Salvador,2,False
31372,1,Russian Federation,1,True
9715,1,Russian Federation,1,True
2538,0.67,Monaco,1,False
27158,1,Indonesia,1,False
31055,0.64,Niue,2,False
9270,1,Micronesia,1,False
6004,0.9,Micronesia,4,False
40951,1,Turkmenistan,1,False
24440,1,Uruguay,1,False
36019,1,Niue,1,False
36196,0.9,Gibraltar,1,False
30320,1,Togo,4,False
48321,1,China,17,False
25766,0.75,Chile,1,True
41553,1,Tonga,2,False
21045,1,French Guiana,2,False
1330,1,United Kingdom,1,True
8294,0,Zimbabwe,1,False
32075,1,Indonesia,2,False
46099,0.98,Uzbekistan,28,False
22030,1,French Guiana,3,True
16069,1,Micronesia,1,False
49105,1,Malta,3,False
14395,1,Sao Tome and Principe,1,True
326,1,Gambia,1,True
17316,1,Niue,1,True
39793,1,Uzbekistan,1,True
30927,1,Indonesia,1,False
3620,1,Russian Federation,1,False
27106,1,China,1,False
36659,1,Anguilla,2,True
